Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
2005/1/1,01:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,11.6,5.3,65,100575,0,0,314,0,0,0,0,0,0,9999,218,2.0,10,9,777.7,77777,9,'999999999,13,0.1280,0,4,0.200,0.0,99.0
2005/1/1,02:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,11.3,5.3,67,100575,0,0,314,0,0,0,0,0,0,9999,252,1.6,10,9,777.7,77777,9,'999999999,13,0.1280,0,4,0.200,0.0,99.0
2005/1/1,03:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,10.9,4.8,66,100575,0,0,311,0,0,0,0,0,0,9999,249,1.2,10,9,777.7,77777,9,'999999999,13,0.1280,0,4,0.200,0.0,99.0
2005/1/1,04:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,10.8,4.6,66,100575,0,0,310,0,0,0,0,0,0,9999,265,1.6,10,9,777.7,77777,9,'999999999,13,0.1280,0,4,0.200,0.0,99.0
2005/1/1,05:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,10.6,4.3,65,100575,0,0,309,0,0,0,0,0,0,9999,263,1.6,10,9,777.7,77777,9,'999999999,13,0.1280,0,4,0.200,0.0,99.0
2005/1/1,06:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,10.4,4.6,67,100575,0,0,309,0,0,0,0,0,0,9999,252,1.8,10,9,777.7,77777,9,'999999999,13,0.1280,0,4,0.200,0.0,99.0
2005/1/1,07:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,10.3,4.3,66,100575,0,0,308,0,0,0,0,0,0,9999,276,1.5,10,9,777.7,77777,9,'999999999,12,0.1280,0,4,0.200,0.0,99.0
2005/1/1,08:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,10.2,3.9,65,100575,0,0,306,0,0,0,0,0,0,9999,237,2.3,10,9,777.7,77777,9,'999999999,12,0.1280,0,4,0.200,0.0,99.0
2005/1/1,09:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,10.2,4.3,67,100575,3,1412,308,0,0,0,18,5,18,9999,214,1.8,10,9,777.7,77777,9,'999999999,13,0.1280,0,4,0.200,0.0,99.0
2005/1/1,10:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,10.8,4.6,65,100575,123,1412,310,37,39,33,4044,122,4033,9999,298,3.7,10,9,777.7,77777,9,'999999999,13,0.1280,0,4,0.200,0.0,99.0
2005/1/1,11:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,11.6,3.6,58,100575,277,1412,305,93,64,80,10214,5620,9112,9999,185,2.9,10,9,777.7,77777,9,'999999999,12,0.1280,0,4,0.200,0.0,99.0
2005/1/1,12:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,12.5,3.8,55,100575,383,1412,304,147,105,119,16079,7693,13993,9999,271,2.7,9,8,777.7,77777,9,'999999999,12,0.1280,0,4,0.200,0.0,99.0
2005/1/1,13:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,13.1,4.1,54,100575,435,1412,306,170,87,144,18791,8234,16256,9999,235,3.2,10,9,777.7,77777,9,'999999999,12,0.1280,0,4,0.200,0.0,99.0
2005/1/1,14:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,13.6,4.0,52,100558,428,1412,306,167,100,137,18195,7197,16011,9999,193,3.7,9,8,777.7,77777,9,'999999999,12,0.1280,0,4,0.200,0.0,99.0
2005/1/1,15:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,13.6,4.3,53,100541,365,1412,312,114,24,108,12561,1276,12232,9999,190,2.9,10,9,777.7,77777,9,'999999999,13,0.1280,0,4,0.200,0.0,99.0
2005/1/1,16:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,13.3,5.0,57,100524,248,1412,319,61,1,61,6823,0,6823,9999,266,4.3,10,9,777.7,77777,9,'999999999,13,0.1280,0,4,0.200,0.0,99.0
