Wind Direction {deg},Wind Speed {m/s}
218,2.0
252,1.6
249,1.2
265,1.6
263,1.6
252,1.8
276,1.5
237,2.3
214,1.8
298,3.7
185,2.9
271,2.7
235,3.2
193,3.7
190,2.9
266,4.3
126,3.2
245,3.7
187,2.7
236,2.7
249,2.9
210,2.0
265,1.5
216,1.4
247,1.5
220,2.7
235,4.1
110,3.7
187,4.3
125,3.4
187,3.9
164,2.3
219,2.6
226,2.4
192,2.7
256,2.0
266,2.9
241,3.4
195,2.4
202,3.2
246,2.4
231,2.7
242,1.7
258,1.4
243,1.1
245,0.8
267,0.6
323,0.3
299,0.2
305,0.2
302,0.4
306,0.3
309,0.4
306,0.3
308,0.4
300,0.5
306,0.7
282,0.7
238,1.4
250,1.5
270,1.8
194,1.6
280,1.1
249,1.4
277,2.6
249,4.3
75,4.1
67,2.9
194,2.9
223,3.4
175,3.2
160,3.4
188,3.2
195,3.2
212,3.7
153,4.3
77,5.3
65,3.9
168,2.6
236,2.3
228,2.3
216,1.7
274,2.0
261,1.7
262,2.6
258,1.6
257,1.2
269,1.2
267,1.4
227,1.8
265,1.8
245,2.3
214,1.6
272,2.1
232,2.0
256,2.0
244,3.4
174,4.1
52,3.4
186,2.6
240,4.1
133,3.7
190,4.3
136,2.9
277,2.7
235,2.3
220,1.7
245,1.7
257,1.6
264,2.4
214,2.1
228,2.1
236,2.9
236,3.9
118,3.9
162,2.4
209,3.7
194,3.9
170,3.2
213,3.7
183,5.0
60,5.3
91,5.3
94,5.0
73,4.9
57,4.6
124,4.9
93,4.6
99,4.3
160,2.9
259,3.2
261,3.9
204,5.0
75,5.6
91,5.9
28,5.3
64,3.4
255,1.8
266,1.8
260,1.2
258,1.5
254,1.0
288,1.0
300,0.7
301,0.7
304,0.5
309,0.6
333,0.7
273,0.8
301,0.7
308,0.5
302,0.7
270,0.6
292,0.7
272,0.7
318,0.9
237,0.7
280,1.1
266,1.2
245,0.8
260,1.0
257,1.2
236,1.5
267,1.8
223,1.7
242,2.0
217,1.8
230,1.8
240,1.5
235,1.7
279,1.8
264,1.2
236,0.8
249,0.5
303,0.4
302,0.5
304,0.7
268,0.8
241,1.7
238,2.1
220,2.9
163,4.3
71,3.2
194,1.8
242,2.9
189,3.2
170,2.9
212,2.4
248,2.7
221,4.3
71,4.6
70,5.3
63,4.1
121,5.0
88,5.0
80,4.6
55,4.1
99,3.4
188,4.3
121,4.3
120,2.9
195,3.9
165,4.1
151,4.3
151,3.4
266,2.7
218,2.9
234,2.6
195,2.6
200,4.3
108,4.9
63,4.3
137,4.1
166,3.9
181,3.2
219,3.4
258,3.2
216,4.6
129,3.2
267,2.6
236,2.9
229,3.7
192,3.2
222,2.6
201,2.9
236,4.6
105,5.9
42,5.0
70,5.9
39,7.0
52,8.8
356,8.2
358,6.7
355,11.4
348,10.4
353,8.8
0,6.3
38,4.3
190,4.3
168,5.0
147,4.3
188,4.3
199,4.9
145,4.1
176,4.6
161,5.5
84,5.3
65,4.6
117,6.3
16,6.3
32,5.6
86,4.6
188,4.9
123,2.6
227,5.9
92,6.3
18,6.5
9,8.2
358,7.0
27,6.3
10,5.9
87,5.9
100,5.6
68,6.3
42,8.2
3,7.4
355,5.6
64,4.3
174,4.3
177,4.1
206,5.0
126,2.9
197,2.4
262,2.4
235,2.3
285,1.6
245,2.3
235,2.6
221,2.3
220,1.8
272,2.4
228,3.2
252,4.1
186,2.1
271,2.3
259,1.7
263,1.2
287,0.6
319,0.9
310,1.1
284,1.7
243,2.9
251,2.6
239,3.4
206,4.1
118,3.4
184,3.2
240,3.4
173,3.7
198,2.6
234,2.6
218,2.6
204,2.0
283,1.8
229,1.8
275,2.4
220,4.3
74,3.7
167,2.7
235,2.6
218,4.1
113,2.7
227,2.6
226,2.4
196,1.2
273,1.0
260,1.0
238,0.8
314,0.6
307,0.7
287,1.1
285,1.1
262,0.9
239,0.8
291,0.4
311,0.1
299,0.5
313,0.7
271,0.8
285,1.0
254,1.0
271,1.5
248,2.1
248,2.0
229,2.1
221,2.0
196,2.1
211,2.4
232,2.7
212,3.9
111,4.3
65,4.9
58,4.9
85,5.5
40,4.3
125,3.4
178,2.3
214,1.7
264,1.6
251,2.0
248,3.2
222,4.9
87,4.6
69,5.3
77,6.7
57,7.4
7,7.0
37,7.4
4,7.0
56,5.6
85,5.0
80,5.3
69,4.6
117,2.6
231,2.3
262,2.6
201,3.4
262,3.2
239,2.6
198,4.1
187,3.4
253,3.4
265,3.4
211,2.0
237,2.4
236,3.4
190,2.4
207,1.8
267,2.7
245,2.9
219,2.1
283,1.6
244,2.1
239,2.3
214,2.7
226,2.9
223,3.4
186,2.9
238,2.3
216,1.8
247,1.6
238,2.4
203,3.2
215,3.9
160,2.3
223,3.2
205,2.9
215,3.7
201,5.3
86,5.3
74,4.9
78,3.4
217,3.2
254,2.3
255,2.6
216,3.9
186,4.6
84,4.3
140,3.9
173,2.9
233,2.9
243,1.4
258,1.4
256,2.3
220,1.4
248,2.1
254,2.1
254,1.6
258,2.9
237,4.6
51,4.6
81,3.9
190,4.3
96,5.9
22,4.9
82,5.3
56,4.9
75,5.9
18,5.9
54,6.3
28,7.0
50,6.7
11,8.2
340,5.9
86,4.9
138,4.6
104,5.5
66,5.0
58,5.9
81,5.5
84,5.6
82,6.1
46,6.1
25,7.7
62,7.7
50,6.3
37,6.3
29,5.6
93,5.5
86,6.1
26,5.9
91,6.7
9,6.5
32,6.1
98,7.0
16,6.5
30,5.9
79,5.6
69,5.0
95,4.1
190,3.4
231,3.7
261,2.9
201,3.7
246,4.9
127,3.9
213,3.9
201,3.4
241,3.9
192,5.3
86,5.5
87,5.9
65,6.5
13,6.1
27,4.9
102,3.7
217,3.9
204,3.4
215,2.4
231,2.0
273,2.6
235,3.4
247,3.7
203,4.6
154,5.5
88,5.3
65,5.3
69,5.6
90,6.7
7,7.0
48,6.3
5,7.7
360,11.0
340,10.4
330,9.4
352,7.4
7,7.7
64,6.7
22,6.5
44,6.5
30,7.4
4,6.5
26,8.2
58,7.4
352,8.8
6,6.5
33,8.2
59,6.1
80,6.1
78,5.9
69,3.2
204,2.9
219,2.1
267,2.3
267,2.1
237,1.6
253,1.6
249,1.6
258,1.5
244,2.6
215,2.6
213,4.1
169,5.5
84,4.3
148,4.6
129,3.4
266,3.7
190,3.4
227,3.9
202,2.6
220,1.4
274,2.0
250,1.7
262,2.0
264,1.6
224,1.1
283,1.7
254,1.6
276,2.1
221,1.4
254,1.6
280,1.7
266,1.6
262,1.1
280,1.1
273,0.6
302,0.4
317,0.2
297,0.3
317,0.1
300,0.3
311,0.4
312,0.2
295,0.2
290,0.1
308,0.0
310,0.1
297,0.5
322,0.5
285,0.8
231,0.8
281,0.7
240,0.5
325,0.4
306,0.4
311,0.5
308,0.6
300,0.9
252,1.0
245,0.8
268,0.8
273,1.0
255,1.2
265,1.4
265,2.0
241,1.6
261,2.1
223,1.2
252,1.2
262,0.8
252,1.1
252,1.2
262,1.8
220,1.8
263,1.4
261,1.7
280,1.0
287,1.2
223,0.8
281,1.1
253,0.9
240,0.9
239,1.4
264,1.4
274,1.6
284,1.1
241,1.4
283,1.2
256,1.1
255,1.4
263,0.9
236,1.0
277,1.8
223,2.1
207,1.1
263,0.9
246,1.2
246,1.2
244,1.2
231,1.6
279,2.1
199,2.1
193,3.4
168,2.6
238,3.4
153,3.2
177,2.9
225,4.1
57,4.9
89,4.3
65,4.3
114,3.7
177,2.7
237,3.4
181,3.7
180,4.3
62,4.1
101,5.5
95,6.1
21,6.5
32,7.4
350,7.4
345,7.0
38,8.2
346,7.7
333,7.0
44,8.8
337,9.9
345,9.4
359,8.2
34,7.0
14,10.4
348,12.5
348,8.8
359,8.2
55,7.4
12,9.4
343,7.7
23,8.8
14,6.7
29,7.4
22,7.0
12,8.8
36,12.5
351,9.9
343,8.8
326,9.4
9,7.7
5,5.6
70,4.9
179,5.3
140,4.3
218,5.3
148,4.9
154,4.1
243,3.2
230,3.7
228,5.3
49,4.6
159,2.9
217,3.7
222,2.9
211,3.4
231,4.3
178,4.1
176,5.0
77,4.3
171,3.7
267,3.2
232,4.1
190,4.3
165,4.1
178,3.7
220,3.2
237,2.1
260,2.6
196,2.6
198,2.1
265,2.1
267,3.4
207,2.9
239,2.7
230,2.6
195,2.7
224,3.9
164,5.3
86,6.5
3,6.3
20,5.3
71,5.5
88,4.6
102,2.9
234,3.4
230,2.7
225,3.2
224,2.7
218,2.3
234,1.5
244,1.1
250,1.8
267,1.6
246,1.2
281,1.4
269,1.8
239,2.1
256,3.7
189,2.4
192,3.2
186,3.9
119,3.2
250,4.6
46,4.3
133,4.9
65,3.2
261,3.7
186,2.9
237,2.4
188,2.7
226,3.4
196,3.2
258,2.9
240,2.6
202,1.6
249,0.8
281,1.1
239,1.0
261,1.5
260,2.1
232,2.6
230,3.4
172,3.2
225,1.8
263,2.0
250,1.6
156,2.2
93,0.7
89,2.6
110,2.2
87,1.8
73,3.2
110,3.0
146,2.6
99,3.2
108,1.6
78,1.4
95,2.2
351,2.0
70,2.0
69,3.7
140,3.5
130,3.7
142,4.7
151,5.5
147,4.7
251,4.4
307,5.2
281,4.4
315,4.0
321,2.4
296,1.5
151,0.8
198,2.8
295,2.8
309,3.0
266,3.0
207,4.7
320,6.6
295,5.2
214,5.9
244,5.5
268,6.2
322,5.9
319,4.9
312,7.1
309,5.5
303,3.7
316,4.2
291,4.9
273,3.0
307,2.4
296,2.0
266,0.6
130,1.0
112,0.6
61,0.2
348,0.2
98,0.1
119,0.3
90,0.4
133,0.4
157,0.8
104,1.4
84,0.8
103,0.7
154,0.5
229,0.7
124,0.6
82,1.2
1,1.8
52,1.2
13,1.4
2,0.4
78,0.8
100,1.0
66,0.3
111,1.4
66,1.5
147,2.0
85,1.8
77,2.0
131,3.0
101,2.2
49,2.2
113,3.0
98,2.8
90,2.0
249,1.8
326,4.7
322,3.5
288,4.0
110,3.5
96,2.6
102,3.0
128,3.2
118,1.8
82,0.7
59,1.2
85,2.0
350,1.8
343,1.4
347,1.2
359,1.4
8,3.2
71,4.4
45,4.0
6,4.2
106,4.9
53,4.0
113,3.0
255,2.6
271,2.6
301,3.0
255,3.5
303,4.2
302,5.2
254,4.2
112,3.2
208,3.5
184,3.7
148,4.0
178,3.7
64,3.7
81,4.0
79,3.0
359,3.5
49,4.0
13,4.7
338,4.4
39,3.7
45,2.6
54,2.0
89,2.0
66,1.2
163,0.8
140,1.0
143,1.5
94,1.8
264,1.5
321,2.8
168,3.5
110,3.7
104,3.2
94,1.8
111,3.7
126,3.2
68,2.4
149,1.4
106,2.0
77,1.8
358,1.4
103,2.0
97,1.8
79,1.4
145,2.2
106,2.0
176,3.0
147,3.5
168,3.5
92,1.8
229,1.8
257,1.6
269,2.8
256,2.4
221,2.6
232,1.5
108,1.8
76,1.4
52,0.7
81,1.2
66,0.3
75,0.4
100,0.3
168,0.6
158,0.7
218,1.6
310,2.0
281,2.4
258,4.0
305,2.2
321,3.0
327,2.4
311,1.4
319,1.2
291,0.7
298,0.4
311,0.4
297,0.5
302,0.8
313,1.5
312,1.2
306,2.8
306,2.6
311,2.4
304,3.2
300,3.7
303,3.5
301,2.8
318,2.4
328,3.0
315,3.0
300,2.6
316,2.4
315,2.6
318,2.8
304,5.2
324,5.5
315,5.5
303,6.2
318,6.8
313,4.7
304,4.4
280,4.4
309,4.9
263,2.6
164,2.4
294,2.0
140,1.0
87,1.0
169,0.5
239,0.8
230,1.5
214,1.4
163,0.6
112,0.8
256,2.0
295,1.8
226,2.0
279,2.2
277,1.6
285,2.2
252,2.4
217,2.0
97,1.0
169,0.8
254,1.4
271,2.4
154,1.2
168,1.6
149,2.0
127,1.6
151,1.8
143,2.4
94,4.7
46,4.4
351,2.6
329,3.2
22,1.4
346,2.2
67,2.2
63,2.8
357,3.0
97,2.8
144,3.5
91,3.7
154,4.7
160,4.7
69,5.2
81,4.9
68,5.2
95,5.5
168,4.2
137,5.5
241,6.2
293,6.2
174,7.6
119,7.6
145,7.1
102,7.6
82,7.3
352,6.2
84,4.0
352,2.8
83,3.5
60,3.0
27,4.0
354,4.2
353,5.5
77,5.9
148,5.5
153,4.9
114,4.4
102,4.9
133,5.5
93,5.2
229,5.9
97,4.4
74,4.4
107,3.2
88,2.2
76,5.2
51,4.2
73,4.0
14,3.5
10,4.0
104,3.7
117,4.2
76,4.4
63,5.2
28,6.2
86,8.2
79,7.6
99,6.2
111,6.2
85,5.5
359,6.8
58,6.8
359,5.9
14,5.9
8,6.8
34,5.5
77,4.7
66,4.4
117,3.2
170,2.6
132,1.5
76,2.2
122,1.0
104,1.0
118,1.2
70,2.0
134,2.0
155,2.8
182,3.0
274,3.2
294,3.2
323,3.5
313,2.6
326,2.6
249,2.6
224,2.2
132,2.6
254,3.7
174,4.2
154,6.2
235,4.4
150,5.9
228,7.1
114,7.6
232,8.2
248,7.9
257,9.4
209,9.6
266,8.7
163,9.0
159,7.9
74,7.3
65,7.9
350,8.5
47,10.0
335,10.6
56,13.3
130,10.6
130,9.6
118,8.7
256,9.6
287,12.0
250,11.4
277,9.2
307,9.0
282,10.6
303,10.0
310,8.5
302,7.9
286,7.9
312,7.6
277,7.3
244,7.3
318,6.6
300,4.9
207,4.4
278,4.7
237,5.2
225,4.9
301,4.4
318,3.7
301,3.2
85,1.6
254,3.7
316,3.7
325,4.4
256,4.9
268,6.2
153,6.2
258,5.5
168,5.2
156,5.9
89,7.3
87,6.8
143,7.1
356,6.8
93,6.8
152,8.2
167,6.6
88,6.6
71,6.2
78,5.5
12,5.5
89,4.2
108,4.9
100,6.6
17,7.1
81,7.3
78,6.2
62,6.6
163,6.2
261,5.2
316,6.6
320,8.2
323,9.0
320,8.7
222,9.0
221,8.4
278,7.9
217,6.6
135,5.2
106,5.2
93,5.9
155,7.1
104,7.3
157,6.8
137,5.9
137,5.2
86,6.2
144,4.7
107,4.2
134,4.7
251,4.0
297,4.0
289,4.0
179,3.7
91,4.0
149,3.7
78,3.7
70,2.0
341,1.8
356,1.8
348,2.4
348,2.2
341,1.8
343,3.0
339,2.8
353,4.9
3,4.7
346,5.9
72,3.7
101,3.5
162,4.2
50,3.7
99,2.6
78,2.8
82,1.8
96,1.2
96,1.5
153,0.7
152,1.0
209,1.8
114,2.8
150,1.4
107,1.6
148,0.8
86,1.0
222,0.8
224,1.2
289,1.0
274,0.8
83,1.4
108,2.0
147,1.4
92,1.0
154,1.0
115,1.8
98,2.6
138,2.4
146,3.0
165,2.8
24,3.0
77,2.6
80,3.5
85,4.4
80,4.9
42,4.7
82,3.2
60,2.8
130,3.0
122,3.0
91,3.5
159,3.7
286,4.0
327,4.9
309,4.9
322,4.4
312,4.4
287,3.7
320,3.7
305,5.5
252,4.7
224,6.6
128,5.9
69,4.9
147,4.7
136,3.7
83,3.5
58,2.6
8,3.7
339,3.0
32,2.8
93,2.4
172,2.6
186,2.6
203,2.0
252,0.8
268,1.0
185,0.2
82,0.5
74,0.7
81,0.6
50,0.8
168,1.2
144,2.8
115,2.8
139,1.5
101,1.2
68,1.0
108,1.4
151,2.8
136,4.0
136,4.9
60,5.5
60,3.5
106,3.5
142,3.5
258,3.0
262,3.7
234,2.0
200,3.5
267,4.9
128,5.9
108,5.9
90,5.2
145,5.5
98,8.2
59,6.6
68,4.9
42,5.2
355,3.7
353,3.7
16,4.4
42,4.0
338,4.0
46,4.0
5,2.2
352,2.0
13,3.2
32,2.2
74,1.2
88,1.8
55,1.5
53,0.8
97,0.8
93,0.4
142,0.8
133,1.4
118,2.6
148,4.7
90,3.2
84,3.2
83,3.7
131,3.2
105,3.5
231,3.7
88,4.2
180,4.4
144,3.7
228,3.2
82,3.0
222,4.4
285,4.4
213,4.7
107,2.8
98,2.8
157,2.4
101,3.2
99,3.7
356,5.2
65,5.9
358,4.9
341,3.2
28,3.5
343,3.5
348,3.2
47,3.5
41,3.5
70,3.2
29,3.2
91,2.8
75,2.2
353,2.2
5,2.6
88,1.6
80,1.8
65,3.0
86,2.2
76,1.5
343,1.5
20,0.8
1,0.2
24,1.4
66,1.6
22,1.5
71,0.7
100,0.7
89,0.2
0,0.1
92,0.0
90,0.2
112,0.5
119,0.3
100,0.7
97,1.0
82,1.8
231,1.6
115,2.0
146,3.5
94,3.0
142,2.0
152,2.8
118,1.8
86,1.5
75,1.2
103,1.2
144,2.2
95,1.5
57,2.8
63,2.0
35,2.4
350,1.6
348,1.2
357,1.2
91,1.6
85,2.0
89,1.8
167,2.4
249,2.4
148,2.0
135,3.2
254,3.7
137,3.2
12,4.0
36,3.5
54,4.4
48,5.2
65,4.4
358,4.9
14,6.2
36,6.6
54,6.6
99,5.5
64,4.7
111,6.2
166,6.6
140,5.9
139,4.7
76,3.0
117,1.8
107,1.4
152,1.4
264,1.0
182,0.6
250,1.4
105,0.8
92,1.0
58,1.5
166,2.0
112,1.8
94,3.0
99,2.8
187,3.4
78,2.1
42,1.4
41,1.4
46,1.4
231,1.6
229,1.3
219,1.4
186,2.5
111,1.7
145,2.7
227,2.5
266,3.7
239,4.9
238,4.3
246,2.0
231,1.3
295,1.2
251,1.2
261,0.7
266,0.6
289,0.6
232,0.7
253,0.7
255,0.5
269,1.4
261,1.3
242,1.7
281,3.2
251,3.2
209,2.7
88,5.9
15,5.5
103,3.2
83,2.7
186,2.7
203,3.4
186,2.9
153,2.9
114,5.2
77,8.4
152,5.9
184,4.0
152,3.2
211,4.6
178,3.4
